zone_class,centroid_lon,centroid_lat,geometry_type
residential,72.681573,22.895541,MultiPolygon
residential,72.562397,23.038825,MultiPolygon
residential,72.685714,22.894004,MultiPolygon
residential,72.56225,23.038645,MultiPolygon
residential,72.674441,22.896179,MultiPolygon
residential,72.531816,23.067696,MultiPolygon
residential,72.538327,23.060346,MultiPolygon
residential,72.637584,23.157513,MultiPolygon
residential,72.657549,23.157931,MultiPolygon
residential,72.623495,23.182095,MultiPolygon
residential,72.560469,23.074814,MultiPolygon
residential,72.676085,22.89163,MultiPolygon
residential,72.672662,22.891481,MultiPolygon
residential,72.667412,22.909939,MultiPolygon
residential,72.647904,22.90703,MultiPolygon
residential,72.690156,22.943316,MultiPolygon
residential,72.686533,22.930677,MultiPolygon
residential,72.749832,23.014271,MultiPolygon
residential,72.718059,22.9789,MultiPolygon
residential,72.52129,23.036966,MultiPolygon
residential,72.739045,22.98246,MultiPolygon
residential,72.692902,22.978245,MultiPolygon
residential,72.681594,22.978526,MultiPolygon
residential,72.678574,22.978313,MultiPolygon
residential,72.575327,23.187674,MultiPolygon
residential,72.703237,22.978418,MultiPolygon
residential,72.676982,22.965468,MultiPolygon
residential,72.687272,22.956956,MultiPolygon
residential,72.723588,22.956114,MultiPolygon
residential,72.738947,22.936883,MultiPolygon
residential,72.738948,22.924692,MultiPolygon
residential,72.742164,22.892653,MultiPolygon
residential,72.737538,22.872653,MultiPolygon
residential,72.651571,23.183307,MultiPolygon
residential,72.651525,23.184232,MultiPolygon
residential,72.650283,23.184474,MultiPolygon
residential,72.671841,23.154248,MultiPolygon
residential,72.605787,23.117709,MultiPolygon
residential,72.54129,23.027776,MultiPolygon
residential,72.555213,23.036341,MultiPolygon
residential,72.565453,23.028991,MultiPolygon
